,playerId,action_season,name,team,action_date
276,8482125,2023,Alexander Holtz,VGK,2023-06-28
277,8479353,2023,Brett Howden,VGK,2023-06-28
278,8476448,2023,William Karlsson,VGK,2023-06-28
279,8478434,2023,Keegan Kolesar,VGK,2023-06-28
280,8481462,2023,Mason Morelli,VGK,2023-06-28
281,8480007,2023,Jonas Rondbjerg,VGK,2023-06-28
282,8478462,2023,Nicolas Roy,VGK,2023-06-28
283,8475913,2023,Mark Stone,VGK,2023-06-28
284,8479980,2023,Nicolas Hague,VGK,2023-06-28
285,8478396,2023,Noah Hanifin,VGK,2023-06-28
286,8477018,2023,Ben Hutton,VGK,2023-06-28
287,8481527,2023,Kaedan Korczak,VGK,2023-06-28
288,8478062,2023,Dysin Mayo,VGK,2023-06-28
289,8475188,2023,Brayden McNabb,VGK,2023-06-28
290,8474565,2023,Alex Pietrangelo,VGK,2023-06-28
291,8482138,2023,Christoffer Sedoff,VGK,2023-06-28
292,8477447,2023,Shea Theodore,VGK,2023-06-28
293,8480727,2023,Zach Whitecloud,VGK,2023-06-28
294,8478499,2023,Adin Hill,VGK,2023-06-28
295,8481520,2023,Isaiah Saville,VGK,2023-06-28
296,8482484,2023,Jesper Vikman,VGK,2023-06-28
297,8480840,2023,Oskar Back,DAL,2023-06-28
298,8473994,2023,Jamie Benn,DAL,2023-06-28
299,8481712,2023,Matej Blumel,DAL,2023-06-28
300,8482145,2023,Mavrik Bourque,DAL,2023-06-28
301,8474149,2023,Evgenii Dadonov,DAL,2023-06-28
302,8476889,2023,Radek Faksa,DAL,2023-06-28
303,8478449,2023,Roope Hintz,DAL,2023-06-28
304,8482740,2023,Wyatt Johnston,DAL,2023-06-28
305,8478975,2023,Mason Marchment,DAL,2023-06-28
306,8480027,2023,Jason Robertson,DAL,2023-06-28
307,8475794,2023,Tyler Seguin,DAL,2023-06-28
308,8482702,2023,Logan Stankoven,DAL,2023-06-28
309,8483425,2023,Lian Bichsel,DAL,2023-06-28
310,8481581,2023,Thomas Harley,DAL,2023-06-28
311,8480036,2023,Miro Heiskanen,DAL,2023-06-28
312,8476902,2023,Esa Lindell,DAL,2023-06-28
313,8475755,2023,Alexander Petrovic,DAL,2023-06-28
314,8479979,2023,Jake Oettinger,DAL,2023-06-28
315,8482465,2023,Remi Poirier,DAL,2023-06-28
316,8476960,2023,Andreas Athanasiou,CHI,2023-06-28
317,8484144,2023,Connor Bedard,CHI,2023-06-28
318,8477450,2023,Jason Dickinson,CHI,2023-06-28
319,8477987,2023,Ryan Donato,CHI,2023-06-28
320,8473422,2023,Nick Foligno,CHI,2023-06-28
321,8475791,2023,Taylor Hall,CHI,2023-06-28
322,8480798,2023,Philipp Kurashev,CHI,2023-06-28
323,8481624,2023,Ilya Mikheyev,CHI,2023-06-28
324,8483493,2023,Frank Nazar,CHI,2023-06-28
325,8482172,2023,Landon Slaggert,CHI,2023-06-28
326,8477495,2023,Seth Jones,CHI,2023-06-28
327,8483466,2023,Kevin Korchinski,CHI,2023-06-28
328,8476473,2023,Connor Murphy,CHI,2023-06-28
329,8481568,2023,Alex Vlasic,CHI,2023-06-28
330,8475852,2023,Petr Mrazek,CHI,2023-06-28
331,8482821,2023,Arvid Soderblom,CHI,2023-06-28
332,8475968,2023,Alex Belzile,NYR,2023-06-28
333,8482132,2023,Brett Berard,NYR,2023-06-28
334,8477320,2023,Anton Blidh,NYR,2023-06-28
335,8477380,2023,Jonny Brodzinski,NYR,2023-06-28
336,8480078,2023,Filip Chytil,NYR,2023-06-28
