,playerId,name,season_type,situation,action_season,action_date,gamescore_toi
264,8476460,Mark Scheifele,playoffs,all,2014,2014-06-13,506.0
265,8476463,Jonas Brodin,playoffs,all,2014,2014-06-13,484.0
266,8476468,J.T. Miller,playoffs,all,2014,2014-06-13,616.0
267,8476470,Nathan Beaulieu,playoffs,all,2014,2014-06-13,562.0
268,8476480,Vladislav Namestnikov,playoffs,all,2014,2014-06-13,488.0
269,8476483,Rickard Rakell,playoffs,all,2014,2014-06-13,562.0
270,8476806,J.T. Brown,playoffs,all,2014,2014-06-13,546.0
271,8476808,Brian Flynn,playoffs,all,2014,2014-06-13,644.0
272,8476822,Luke Glendening,playoffs,all,2014,2014-06-13,534.0
273,8476851,Alex Galchenyuk,playoffs,all,2014,2014-06-13,592.0
274,8476854,Hampus Lindholm,playoffs,all,2014,2014-06-13,610.0
275,8476856,Matt Dumba,playoffs,all,2014,2014-06-13,580.0
276,8476879,Cody Ceci,playoffs,all,2014,2014-06-13,536.0
277,8476880,Tom Wilson,playoffs,all,2014,2014-06-13,482.0
278,8476882,Teuvo Teravainen,playoffs,all,2014,2014-06-13,630.0
279,8476885,Jacob Trouba,playoffs,all,2014,2014-06-13,566.0
280,8476887,Filip Forsberg,playoffs,all,2014,2014-06-13,692.0
281,8476975,Cedric Paquette,playoffs,all,2014,2014-06-13,500.0
282,8477205,Andrej Sustr,playoffs,all,2014,2014-06-13,520.0
283,8477215,Danny DeKeyser,playoffs,all,2014,2014-06-13,482.0
284,8477444,Andre Burakovsky,playoffs,all,2014,2014-06-13,610.0
285,8477455,Jacob de la Rose,playoffs,all,2014,2014-06-13,492.0
286,8477494,Jonathan Drouin,playoffs,all,2014,2014-06-13,452.0
287,8477495,Seth Jones,playoffs,all,2014,2014-06-13,522.0
288,8477497,Sean Monahan,playoffs,all,2014,2014-06-13,540.0
289,8477500,Bo Horvat,playoffs,all,2014,2014-06-13,664.0
290,8477508,Curtis Lazar,playoffs,all,2014,2014-06-13,562.0
291,8477589,Ronalds Kenins,playoffs,all,2014,2014-06-13,598.0
292,8477591,Josh Jooris,playoffs,all,2014,2014-06-13,528.0
293,8477845,Trevor van Riemsdyk,playoffs,all,2014,2014-06-13,466.0
294,8477935,Sam Bennett,playoffs,all,2014,2014-06-13,562.0
295,8478137,Jiri Sekac,playoffs,all,2014,2014-06-13,482.0
296,8448208,Jaromir Jagr,playoffs,all,2015,2015-06-15,630.0
297,8464977,Dainius Zubrus,playoffs,all,2015,2015-06-15,522.0
298,8464989,Matt Cullen,playoffs,all,2015,2015-06-15,526.0
299,8465058,Michal Rozsival,playoffs,all,2015,2015-06-15,498.0
300,8465978,Shawn Thornton,playoffs,all,2015,2015-06-15,506.0
301,8466138,Joe Thornton,playoffs,all,2015,2015-06-15,642.0
302,8466139,Patrick Marleau,playoffs,all,2015,2015-06-15,586.0
303,8466148,Marian Hossa,playoffs,all,2015,2015-06-15,716.0
304,8466251,Jason Chimera,playoffs,all,2015,2015-06-15,526.0
305,8466285,Brian Campbell,playoffs,all,2015,2015-06-15,564.0
306,8467096,Dan Boyle,playoffs,all,2015,2015-06-15,556.0
307,8467329,Vincent Lecavalier,playoffs,all,2015,2015-06-15,616.0
308,8467370,Mike Fisher,playoffs,all,2015,2015-06-15,634.0
309,8467371,Mike Ribeiro,playoffs,all,2015,2015-06-15,508.0
310,8467389,Brad Richards,playoffs,all,2015,2015-06-15,542.0
311,8467423,Shawn Horcoff,playoffs,all,2015,2015-06-15,544.0
312,8467452,Rob Scuderi,playoffs,all,2015,2015-06-15,532.0
313,8467514,Pavel Datsyuk,playoffs,all,2015,2015-06-15,584.0
314,8467890,Barret Jackman,playoffs,all,2015,2015-06-15,530.0
315,8468001,Derek MacKenzie,playoffs,all,2015,2015-06-15,546.0
316,8468083,Henrik Zetterberg,playoffs,all,2015,2015-06-15,606.0
317,8468208,Joel Ward,playoffs,all,2015,2015-06-15,592.0
318,8468309,Mark Streit,playoffs,all,2015,2015-06-15,494.0
319,8468483,Marian Gaborik,playoffs,all,2015,2015-06-15,602.0
320,8468498,Brooks Orpik,playoffs,all,2015,2015-06-15,486.0
321,8468505,Steve Ott,playoffs,all,2015,2015-06-15,496.0
322,8468508,Justin Williams,playoffs,all,2015,2015-06-15,616.0
323,8468509,Niklas Kronwall,playoffs,all,2015,2015-06-15,566.0
324,8468513,Nick Schultz,playoffs,all,2015,2015-06-15,494.0
325,8468526,Jarret Stoll,playoffs,all,2015,2015-06-15,400.0
326,8468542,Paul Martin,playoffs,all,2015,2015-06-15,544.0
327,8468575,Dominic Moore,playoffs,all,2015,2015-06-15,566.0
328,8468635,Travis Moen,playoffs,all,2015,2015-06-15,474.0
329,8468700,Paul Gaustad,playoffs,all,2015,2015-06-15,514.0
330,8469455,Jason Spezza,playoffs,all,2015,2015-06-15,698.0
331,8469459,Mikko Koivu,playoffs,all,2015,2015-06-15,632.0
332,8469466,Ales Hemsky,playoffs,all,2015,2015-06-15,640.0
333,8469506,Jason Pominville,playoffs,all,2015,2015-06-15,714.0
334,8469544,Patrick Sharp,playoffs,all,2015,2015-06-15,630.0
335,8469598,Kevin Bieksa,playoffs,all,2015,2015-06-15,546.0
336,8469623,Marek Zidlicky,playoffs,all,2015,2015-06-15,518.0
337,8469638,Jussi Jokinen,playoffs,all,2015,2015-06-15,610.0
338,8469665,Johnny Oduya,playoffs,all,2015,2015-06-15,572.0
339,8469759,Vernon Fiddler,playoffs,all,2015,2015-06-15,544.0
340,8470039,Tomas Fleischmann,playoffs,all,2015,2015-06-15,490.0
341,8470041,Rick Nash,playoffs,all,2015,2015-06-15,698.0
342,8470047,Valtteri Filppula,playoffs,all,2015,2015-06-15,576.0
343,8470105,Scottie Upshall,playoffs,all,2015,2015-06-15,524.0
344,8470110,Trevor Daley,playoffs,all,2015,2015-06-15,566.0
345,8470144,Frans Nielsen,playoffs,all,2015,2015-06-15,574.0
346,8470151,Jay Bouwmeester,playoffs,all,2015,2015-06-15,506.0
347,8470187,Johnny Boychuk,playoffs,all,2015,2015-06-15,512.0
348,8470201,Jiri Hudler,playoffs,all,2015,2015-06-15,496.0
349,8470257,Alexander Steen,playoffs,all,2015,2015-06-15,566.0
350,8470281,Duncan Keith,playoffs,all,2015,2015-06-15,620.0
351,8470318,Jonathan Ericsson,playoffs,all,2015,2015-06-15,540.0
352,8470543,Chris Kunitz,playoffs,all,2015,2015-06-15,664.0
353,8470595,Eric Staal,playoffs,all,2015,2015-06-15,520.0
354,8470600,Ryan Suter,playoffs,all,2015,2015-06-15,554.0
355,8470601,Braydon Coburn,playoffs,all,2015,2015-06-15,542.0
356,8470604,Jeff Carter,playoffs,all,2015,2015-06-15,568.0
357,8470606,Dustin Brown,playoffs,all,2015,2015-06-15,560.0
358,8470607,Brent Seabrook,playoffs,all,2015,2015-06-15,572.0
359,8470609,Steve Bernier,playoffs,all,2015,2015-06-15,488.0
360,8470611,Eric Fehr,playoffs,all,2015,2015-06-15,548.0
361,8470612,Ryan Getzlaf,playoffs,all,2015,2015-06-15,662.0
362,8470613,Brent Burns,playoffs,all,2015,2015-06-15,644.0
363,8470616,Ryan Kesler,playoffs,all,2015,2015-06-15,604.0
364,8470617,Mike Richards,playoffs,all,2015,2015-06-15,516.0
365,8470619,Brian Boyle,playoffs,all,2015,2015-06-15,566.0
366,8470621,Corey Perry,playoffs,all,2015,2015-06-15,584.0
367,8470622,Patrick Eaves,playoffs,all,2015,2015-06-15,704.0
368,8470630,Kevin Klein,playoffs,all,2015,2015-06-15,598.0
369,8470640,Matt Carle,playoffs,all,2015,2015-06-15,544.0
370,8470642,Shea Weber,playoffs,all,2015,2015-06-15,540.0
371,8470655,David Backes,playoffs,all,2015,2015-06-15,596.0
372,8470724,Kyle Quincey,playoffs,all,2015,2015-06-15,518.0
373,8470775,Nate Thompson,playoffs,all,2015,2015-06-15,560.0
374,8470794,Joe Pavelski,playoffs,all,2015,2015-06-15,678.0
375,8470803,Kyle Brodziak,playoffs,all,2015,2015-06-15,528.0
376,8470854,Tanner Glass,playoffs,all,2015,2015-06-15,496.0
377,8470871,Chris Porter,playoffs,all,2015,2015-06-15,502.0
378,8470877,David Jones,playoffs,all,2015,2015-06-15,500.0
379,8471214,Alex Ovechkin,playoffs,all,2015,2015-06-15,716.0
380,8471215,Evgeni Malkin,playoffs,all,2015,2015-06-15,690.0
381,8471217,Andrew Ladd,playoffs,all,2015,2015-06-15,608.0
382,8471242,Mike Green,playoffs,all,2015,2015-06-15,598.0
383,8471274,Alex Goligoski,playoffs,all,2015,2015-06-15,616.0
384,8471339,Ryan Callahan,playoffs,all,2015,2015-06-15,540.0
385,8471346,Kris Versteeg,playoffs,all,2015,2015-06-15,632.0
386,8471392,Roman Polak,playoffs,all,2015,2015-06-15,494.0
